,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond
,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std
Neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blmngtn,3312805,159895,264561,194870.88235294117,191000.0,164424.0,239031.2,30393.22921902663,122,7,8,7.176470588235294,7.0,7.0,8.0,0.39295262399668784,85,5,5,5.0,5.0,5.0,5.0,0.0,51.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,70.0,4.0,5.0,4.117647058823529,4.0,4.0,4.4,0.3321055820775357,34.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,68.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,52.0,3.0,4.0,3.0588235294117645,3.0,3.0,3.0,0.24253562503633294,61.0,3.0,4.0,3.588235294117647,4.0,3.0,4.0,0.5072996561958923,51.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,51.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,119.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,53.0,3.0,4.0,3.1176470588235294,3.0,3.0,3.4000000000000004,0.3321055820775357
Blueste,275000,124000,151000,137500.0,137500.0,126700.0,148300.0,19091.883092036784,12,6,6,6.0,6.0,6.0,6.0,0.0,12,6,6,6.0,6.0,6.0,6.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,5.0,2.0,3.0,2.5,2.5,2.1,2.9,0.7071067811865476,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
BrDale,1671900,83000,125000,104493.75,106000.0,86700.0,121000.0,14330.176493446732,91,5,6,5.6875,6.0,5.0,6.0,0.478713553878169,87,3,8,5.4375,5.0,5.0,7.0,1.1528949070347505,32.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,48.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,32.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,36.0,2.0,4.0,2.25,2.0,2.0,3.0,0.5773502691896258,33.0,2.0,3.0,2.0625,2.0,2.0,2.0,0.25000000000000006,61.0,1.0,4.0,3.8125,4.0,4.0,4.0,0.75,48.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,48.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,110.0,6.0,7.0,6.875,7.0,6.5,7.0,0.3415650255319866,47.0,2.0,3.0,2.9375,3.0,3.0,3.0,0.25
BrkSide,7240375,39300,223500,124834.05172413793,124300.0,78600.0,181550.00000000003,40348.689270401126,293,1,7,5.051724137931035,5.0,4.0,6.0,1.1909367357378586,356,2,9,6.137931034482759,6.0,5.0,8.0,1.3304566669113036,117.0,1.0,3.0,2.0172413793103448,2.0,2.0,2.0,0.35000648166152815,175.0,2.0,4.0,3.0172413793103448,3.0,3.0,3.0,0.35000648166152826,117.0,0.0,3.0,2.0172413793103448,2.0,1.7000000000000002,3.0,0.5458416745690181,161.0,1.0,4.0,2.7758620689655173,3.0,2.0,4.0,0.9559252603882146,115.0,1.0,4.0,1.9827586206896552,2.0,1.0,3.0,0.6067277579712346,223.0,1.0,4.0,3.8448275862068964,4.0,3.7,4.0,0.5232061798125777,170.0,2.0,4.0,2.9310344827586206,3.0,3.0,3.0,0.31689662742649877,169.0,1.0,3.0,2.913793103448276,3.0,3.0,3.0,0.3394775531230454,387.0,2.0,7.0,6.672413793103448,7.0,6.0,7.0,1.0494431444774046,172.0,2.0,4.0,2.9655172413793105,3.0,3.0,3.0,0.3225728391226157
ClearCr,5951832,130000,328000,212565.42857142858,200250.0,151400.0,277900.0,50231.53899282105,165,4,7,5.892857142857143,6.0,4.7,7.0,0.9940297973880047,159,4,8,5.678571428571429,5.0,4.7,7.300000000000001,1.218790275416462,63.0,2.0,3.0,2.25,2.0,2.0,3.0,0.4409585518440986,99.0,3.0,5.0,3.5357142857142856,3.5,3.0,4.0,0.5762035942360841,58.0,2.0,3.0,2.0714285714285716,2.0,2.0,2.0,0.262265264156481,85.0,1.0,4.0,3.0357142857142856,3.0,2.0,4.0,0.961562881252794,72.0,2.0,4.0,2.5714285714285716,2.5,2.0,3.0,0.634126487474228,98.0,2.0,4.0,3.5,4.0,3.0,4.0,0.5773502691896257,83.0,2.0,3.0,2.9642857142857144,3.0,3.0,3.0,0.1889822365046136,84.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,180.0,3.0,7.0,6.428571428571429,7.0,5.0,7.0,1.1031460542154956,84.0,2.0,4.0,3.0,3.0,3.0,3.0,0.2721655269759087
CollgCr,29694866,110000,424870,197965.77333333335,197200.0,132950.0,260150.0,51403.66643820808,996,4,9,6.64,7.0,5.0,8.0,1.0380673834667236,786,5,8,5.24,5.0,5.0,6.0,0.6417258608914813,409.0,2.0,3.0,2.7266666666666666,3.0,2.0,3.0,0.447163568809774,597.0,3.0,5.0,3.98,4.0,4.0,4.0,0.35653063537335966,309.0,2.0,3.0,2.06,2.0,2.0,2.0,0.2382824447791589,565.0,2.0,4.0,3.7666666666666666,4.0,2.9000000000000004,4.0,0.617601625109429,429.0,2.0,4.0,2.86,3.0,2.0,3.0,0.46386181696158074,567.0,1.0,5.0,3.78,4.0,3.0,4.0,0.4897609333257203,451.0,3.0,4.0,3.006666666666667,3.0,3.0,3.0,0.0816496580927726,449.0,2.0,3.0,2.993333333333333,3.0,3.0,3.0,0.08164965809277258,1050.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,458.0,3.0,4.0,3.0533333333333332,3.0,3.0,3.0,0.22545008425851165
Crawfor,10741861,90350,392500,210624.72549019608,200624.0,139000.0,311500.0,68866.39547212514,320,4,8,6.2745098039215685,6.0,5.0,8.0,1.0213409102263362,336,3,9,6.588235294117647,7.0,5.0,8.0,1.3442688806668894,119.0,2.0,4.0,2.3333333333333335,2.0,2.0,3.0,0.5537749241945381,173.0,2.0,5.0,3.392156862745098,3.0,3.0,4.0,0.6950807542307302,114.0,1.0,3.0,2.235294117647059,2.0,2.0,3.0,0.47278897170376755,149.0,1.0,4.0,2.9215686274509802,3.0,2.0,4.0,1.07411614371821,126.0,1.0,4.0,2.4705882352941178,2.0,2.0,3.0,0.6738825172526911,192.0,3.0,4.0,3.764705882352941,4.0,3.0,4.0,0.4284033283772499,146.0,1.0,4.0,2.8627450980392157,3.0,2.0,3.0,0.4480896268889631,147.0,1.0,3.0,2.8823529411764706,3.0,3.0,3.0,0.3819454842528924,346.0,3.0,7.0,6.784313725490196,7.0,7.0,7.0,0.8321953013613113,153.0,2.0,4.0,3.0,3.0,3.0,3.0,0.34641016151377574
Edwards,12821970,58500,320000,128219.7,121750.0,82450.0,177200.00000000003,43208.61645867324,508,1,10,5.08,5.0,4.0,6.0,1.3079400103625054,544,1,9,5.44,5.0,3.0,7.0,1.3949403520791077,213.0,1.0,4.0,2.13,2.0,2.0,3.0,0.4416452253228886,325.0,2.0,5.0,3.25,3.0,3.0,4.0,0.6415731927193979,207.0,1.0,4.0,2.07,2.0,2.0,3.0,0.4323999271157398,293.0,1.0,4.0,2.93,3.0,2.0,4.0,1.0372360318936984,218.0,1.0,4.0,2.18,2.0,2.0,3.0,0.6257117159804119,393.0,2.0,5.0,3.93,4.0,4.0,4.0,0.35547663265485735,296.0,2.0,4.0,2.96,3.0,3.0,3.0,0.24287836253956216,295.0,1.0,4.0,2.95,3.0,3.0,3.0,0.32952368440805374,661.0,3.0,7.0,6.61,7.0,5.0,7.0,1.0434499886376338,298.0,1.0,4.0,2.98,3.0,3.0,3.0,0.44901688344221724
